Serial ; Workgroup Size: 2000 ; Device: pthread; 12007
Serial ; Workgroup Size: 2000 ; Device: pthread; 11943
Serial ; Workgroup Size: 2000 ; Device: pthread; 11409
Serial ; Workgroup Size: 2000 ; Device: pthread; 11823
Serial ; Workgroup Size: 2000 ; Device: pthread; 11963
Serial ; Workgroup Size: 2000 ; Device: pthread; 11942
Serial ; Workgroup Size: 2000 ; Device: pthread; 12072
Serial ; Workgroup Size: 2000 ; Device: pthread; 11848
Serial ; Workgroup Size: 2000 ; Device: pthread; 11269
Serial ; Workgroup Size: 2000 ; Device: pthread; 11407
