ASAP OOE  ; Workgroup Size: 2000 ; Device: pthread; 956
ASAP OOE  ; Workgroup Size: 2000 ; Device: pthread; 941
ASAP OOE  ; Workgroup Size: 2000 ; Device: pthread; 901
ASAP OOE  ; Workgroup Size: 2000 ; Device: pthread; 898
ASAP OOE  ; Workgroup Size: 2000 ; Device: pthread; 882
ASAP OOE  ; Workgroup Size: 2000 ; Device: pthread; 896
ASAP OOE  ; Workgroup Size: 2000 ; Device: pthread; 882
ASAP OOE  ; Workgroup Size: 2000 ; Device: pthread; 896
ASAP OOE  ; Workgroup Size: 2000 ; Device: pthread; 898
ASAP OOE  ; Workgroup Size: 2000 ; Device: pthread; 901
