Serial ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 28259
Serial ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 28157
Serial ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 28719
Serial ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 28577
Serial ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 28571
Serial ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 28777
Serial ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 28657
Serial ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 28758
Serial ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 29030
Serial ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 29114
