Serial ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 28800
Serial ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 27029
Serial ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 28210
Serial ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 27010
Serial ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 27619
Serial ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 27124
Serial ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 27232
Serial ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 27570
Serial ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 27044
Serial ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 27468
