ASAP ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 290
ASAP ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 328
ASAP ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 296
ASAP ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 285
ASAP ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 286
