ASAP ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 896
ASAP ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 893
ASAP ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 893
ASAP ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 890
ASAP ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 916
