Static ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 910
Static ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 887
Static ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 891
Static ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 887
Static ; Workgroup Size: 1 ; Device: VideoCore IV GPU; 922
