R. F. S. ; Workgroup Size: 1 ; Device: pthread; 1922
R. F. S. ; Workgroup Size: 1 ; Device: pthread; 1819
R. F. S. ; Workgroup Size: 1 ; Device: pthread; 1823
R. F. S. ; Workgroup Size: 1 ; Device: pthread; 1838
R. F. S. ; Workgroup Size: 1 ; Device: pthread; 1888
R. F. S. ; Workgroup Size: 1 ; Device: pthread; 1815
R. F. S. ; Workgroup Size: 1 ; Device: pthread; 1855
R. F. S. ; Workgroup Size: 1 ; Device: pthread; 1811
R. F. S. ; Workgroup Size: 1 ; Device: pthread; 1801
R. F. S. ; Workgroup Size: 1 ; Device: pthread; 1812
