R. F. S. ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 584
R. F. S. ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 630
R. F. S. ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 603
R. F. S. ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 618
R. F. S. ; Workgroup Size: 10 ; Device: VideoCore IV GPU; 618
